order_id,customer_name,amount,order_date,status
ORD-1001,Priya Sharma,2468.53,2026-07-14,PAID
ORD-1002,Priya Iyer,14571.79,2026-07-24,PAID
ORD-1003,Aditya Patel,23599.68,2026-08-14,PAID
ORD-1004,Suresh Iyer,7854.89,2026-07-18,PAID
ORD-1005,Rohit Iyer,9913.62,2026-07-14,PAID
ORD-1006,Arjun Kumar,10664.09,2026-08-08,PAID
ORD-1007,Vikram Reddy,22716.36,2026-07-18,PAID
ORD-1008,Meera Sharma,23941.72,2026-07-31,PAID
ORD-1009,Anjali Reddy,21093.35,2026-08-04,PAID
ORD-1010,Anjali Sharma,6517.13,2026-07-04,PAID
ORD-1011,Rohit Menon,9924.64,2026-07-20,PAID
ORD-1012,Aditya Reddy,14181.66,2026-07-28,PAID
ORD-1013,Divya Menon,9355.02,2026-08-12,PAID
ORD-1014,Aditya Singh,9985.49,2026-07-17,PAID
ORD-1015,Pooja Sharma,12803.01,2026-08-04,PAID
ORD-1016,Karthik Singh,12356.54,2026-08-01,PAID
ORD-1017,Rahul Iyer,11090.76,2026-07-05,PAID
ORD-1018,Rohit Nair,3404.93,2026-07-21,PAID
ORD-1019,Vikram Gupta,6585.01,2026-08-08,PAID
ORD-1020,Rohit Singh,20143.06,2026-08-10,PAID
ORD-1021,Aditya Iyer,8490.05,2026-07-16,PAID
ORD-1022,Karthik Gupta,8342.06,2026-08-09,PAID
ORD-1023,Suresh Nair,12169.67,2026-07-08,PAID
ORD-1024,Anjali Patel,1396.35,2026-07-09,PAID
ORD-1025,Rahul Sharma,3112.61,2026-07-31,PAID
ORD-1026,Rohit Singh,2235.09,2026-07-03,PAID
ORD-1027,Sneha Singh,24690.24,2026-08-04,PAID
ORD-1028,Meera Menon,13020.24,2026-08-13,PAID
ORD-1029,Priya Nair,24713.72,2026-08-06,PAID
ORD-1030,Sneha Patel,21361.19,2026-07-30,PAID
ORD-1031,Priya Sharma,10040.02,2026-08-12,PAID
ORD-1032,Meera Iyer,19259.67,2026-07-17,PAID
ORD-1033,Karthik Menon,19508.52,2026-07-03,PAID
ORD-1034,Aditya Sharma,12230.78,2026-08-01,PAID
ORD-1035,Vikram Patel,17221.58,2026-07-02,PAID
ORD-1036,Rohit Reddy,16142.73,2026-07-24,PAID
ORD-1037,Aditya Sharma,19220.60,2026-07-30,PAID
ORD-1038,Rahul Kumar,5189.99,2026-08-11,PAID
ORD-1039,Vikram Nair,6534.32,2026-07-01,PAID
ORD-1040,Rahul Menon,23352.64,2026-08-06,PAID
ORD-1041,Pooja Patel,10904.49,2026-07-04,PAID
ORD-1042,Karthik Patel,16212.94,2026-07-28,PAID
ORD-1043,Vikram Rao,23736.41,2026-07-15,PAID
ORD-1044,Pooja Iyer,19520.23,2026-07-29,PAID
ORD-1045,Rahul Sharma,18575.39,2026-08-13,PAID
ORD-1046,Anjali Singh,14400.21,2026-07-24,PAID
ORD-1047,Sneha Gupta,16591.37,2026-08-04,PAID
ORD-1048,Priya Nair,20135.40,2026-08-10,PAID
ORD-1049,Divya Kumar,18894.98,2026-07-22,PAID
ORD-1050,Suresh Reddy,9071.80,2026-07-23,PAID
ORD-1051,Rohit Rao,10329.47,2026-07-26,PAID
ORD-1052,Priya Singh,22582.89,2026-07-16,PAID
ORD-1053,Divya Rao,23042.71,2026-07-25,PAID
ORD-1054,Meera Reddy,23609.35,2026-07-24,PAID
ORD-1055,Suresh Patel,20619.50,2026-07-02,PAID
ORD-1056,Arjun Gupta,5659.62,2026-07-24,PAID
ORD-1057,Sneha Iyer,22989.56,2026-08-04,PAID
ORD-1058,Meera Iyer,7358.07,2026-07-27,PAID
ORD-1059,Karthik Singh,13742.65,2026-07-07,PAID
ORD-1060,Rahul Nair,16055.06,2026-07-06,PAID
ORD-1061,Karthik Patel,24115.89,2026-07-07,PAID
ORD-1062,Rahul Sharma,13061.03,2026-07-02,PAID
ORD-1063,Aditya Rao,3477.06,2026-07-22,PAID
ORD-1064,Priya Menon,14328.09,2026-08-09,PAID
ORD-1065,Priya Rao,22396.28,2026-08-06,PAID
ORD-1066,Karthik Patel,5079.13,2026-07-10,PAID
ORD-1067,Rohit Kumar,11108.66,2026-07-10,PAID
ORD-1068,Nisha Patel,23718.71,2026-07-25,PAID
ORD-1069,Karthik Menon,3148.10,2026-07-07,PAID
ORD-1070,Divya Nair,1509.73,2026-08-15,PAID
ORD-1071,Anjali Reddy,5678.16,2026-07-01,PAID
ORD-1072,Aditya Menon,11047.17,2026-07-27,PAID
ORD-1073,Sneha Sharma,8209.15,2026-07-25,PAID
ORD-1074,Rahul Patel,20169.08,2026-07-26,PAID
ORD-1075,Suresh Sharma,16824.97,2026-07-06,PAID
ORD-1076,Pooja Reddy,16210.50,2026-07-18,PAID
ORD-1077,Vikram Reddy,10277.49,2026-07-14,PAID
ORD-1078,Arjun Rao,17829.91,2026-07-05,PAID
ORD-1079,Nisha Rao,14458.00,2026-08-08,PAID
ORD-1080,Arjun Patel,16836.63,2026-07-28,PAID
ORD-1081,Aditya Menon,4466.44,2026-07-31,PAID
ORD-1082,Pooja Kumar,18317.21,2026-07-03,PAID
ORD-1083,Meera Sharma,16100.11,2026-07-09,PAID
ORD-1084,Aditya Nair,2023.46,2026-07-21,PAID
ORD-1085,Priya Rao,21114.30,2026-07-01,PAID
ORD-1086,Nisha Reddy,2067.73,2026-08-14,PAID
ORD-1087,Sneha Nair,1522.61,2026-08-08,PAID
ORD-1088,Manoj Reddy,9902.15,2026-07-01,PAID
ORD-1089,Aditya Iyer,1438.41,2026-07-22,PAID
ORD-1090,Pooja Reddy,20330.48,2026-07-28,PAID
ORD-1091,Arjun Rao,17146.87,2026-07-01,PAID
ORD-1092,Karthik Rao,1678.91,2026-08-05,PAID
ORD-1093,Karthik Rao,8416.96,2026-07-31,PAID
ORD-1094,Nisha Nair,20874.56,2026-07-17,PAID
ORD-1095,Vikram Patel,24535.44,2026-07-18,PAID
ORD-1096,Priya Sharma,13763.83,2026-07-30,PAID
ORD-1097,Anjali Menon,3977.82,2026-07-08,PAID
ORD-1098,Rahul Rao,10337.55,2026-07-24,PAID
ORD-1099,Divya Iyer,13273.42,2026-07-06,PAID
ORD-1100,Suresh Rao,2639.81,2026-07-10,PAID
ORD-1101,Karthik Iyer,16823.27,2026-07-03,PAID
